run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r1-20260907T191018+0000-B-ficus-14,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,ficus,-1,False,0.3,True,1x,1/4,30000,0,29.6351,0.98038,0.02309,vgg,242548,61.12,5083,1107.2,11.096,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-ficus-18,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,ficus,-1,False,0.3,True,1x,1/8,30000,0,28.0791,0.97450,0.02617,vgg,242548,61.12,5083,1107.2,11.096,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-hotdog-1x,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,hotdog,-1,False,0.3,True,1x,1x,30000,0,37.9771,0.98583,0.01968,vgg,143572,36.18,3921,1235.7,9.114,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-hotdog-12,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,hotdog,-1,False,0.3,True,1x,1/2,30000,0,36.0580,0.98657,0.01311,vgg,143572,36.18,3921,1235.7,9.114,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-hotdog-14,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,hotdog,-1,False,0.3,True,1x,1/4,30000,0,31.5267,0.97848,0.01588,vgg,143572,36.18,3921,1235.7,9.114,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-B-hotdog-18,2026-09-07T19:10:18+00:00,3dgs,B,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,1b73d19c8b8a9297160bfcfb76c729a0b78afd07,blender,hotdog,-1,False,0.3,True,1x,1/8,30000,0,27.4267,0.95803,0.02290,vgg,143572,36.18,3921,1235.7,9.114,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-hotdog-1x,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,hotdog,-1,False,0.1,False,1x,1x,30000,0,37.8762,0.98601,0.01875,vgg,194110,48.92,4051,1386.0,8.976,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-hotdog-12,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,hotdog,-1,False,0.1,False,1x,1/2,30000,0,38.5485,0.98992,0.00943,vgg,194110,48.92,4051,1386.0,8.976,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-hotdog-14,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,hotdog,-1,False,0.1,False,1x,1/4,30000,0,35.9827,0.98965,0.00950,vgg,194110,48.92,4051,1386.0,8.976,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
r1-20260907T191018+0000-A-hotdog-18,2026-09-07T19:10:18+00:00,mip-splatting,A,1b5964f9574311e13c8d9a9572179cdc760c30d7,1b5964f9574311e13c8d9a9572179cdc760c30d7,blender,hotdog,-1,False,0.1,False,1x,1/8,30000,0,32.1774,0.98430,0.01501,vgg,194110,48.92,4051,1386.0,8.976,Tesla T4,kaggle,L1,"R1 Blender STMT, 30000 iters, 8-scene sweep"
