run_id,timestamp_utc,method,arm,impl_commit,rasteriser_commit,dataset,scene,resolution_flag,load_allres,kernel_size,disable_3D_filter,train_scale,test_scale,iterations,seed,psnr,ssim,lpips,lpips_backbone,n_gaussians,model_mb,peak_vram_mb,train_seconds,render_fps,gpu_model,platform,level_claimed,notes
r7-t3-20260911T183335+0000-b1_lego_cone-12,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/cone,1/2,30000,0,25.4344,0.89652,0.08404,vgg,238766,60.17,10171,1732.6,7.389,Tesla T4,kaggle,L2,R7 table3 b1-fisher protocol=cone n_cam=10 span=41deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_cone-14,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/cone,1/4,30000,0,25.9463,0.91776,0.06751,vgg,238766,60.17,10171,1732.6,7.389,Tesla T4,kaggle,L2,R7 table3 b1-fisher protocol=cone n_cam=10 span=41deg 30000 iters
r7-t3-20260911T183335+0000-b1_lego_cone-18,2026-09-11T18:33:35+00:00,b1-fisher,C,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/cone,1/8,30000,0,25.5996,0.93408,0.05879,vgg,238766,60.17,10171,1732.6,7.389,Tesla T4,kaggle,L2,R7 table3 b1-fisher protocol=cone n_cam=10 span=41deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_mixed-1x,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/mixed,1x,30000,0,35.8729,0.98372,0.01515,vgg,291603,73.49,4381,1498.3,7.471,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_mixed-12,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/mixed,1/2,30000,0,35.4362,0.98898,0.00858,vgg,291603,73.49,4381,1498.3,7.471,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_mixed-14,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/mixed,1/4,30000,0,31.8518,0.98479,0.01334,vgg,291603,73.49,4381,1498.3,7.471,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_mixed-18,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/mixed,1/8,30000,0,28.2646,0.97350,0.02543,vgg,291603,73.49,4381,1498.3,7.471,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=mixed n_cam=100 span=179deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_grazing-1x,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/grazing,1x,30000,0,33.4066,0.97202,0.02425,vgg,289962,73.07,4251,1493.9,7.648,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=grazing n_cam=50 span=157deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_grazing-12,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/grazing,1/2,30000,0,33.5920,0.98048,0.01450,vgg,289962,73.07,4251,1493.9,7.648,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=grazing n_cam=50 span=157deg 30000 iters
r7-t3-20260911T183335+0000-mip_lego_grazing-14,2026-09-11T18:33:35+00:00,mip-splatting,A,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,22a5fbbadc6d55f92cb9647f997fb8dd4e2673f9,blender,lego,-1,False,0.1,False,1x/grazing,1/4,30000,0,31.3952,0.98034,0.01622,vgg,289962,73.07,4251,1493.9,7.648,Tesla T4,kaggle,L2,R7 table3 mip-splatting protocol=grazing n_cam=50 span=157deg 30000 iters
